2,0.11488722240382974/
3,0.10947239268909802/
4,0.10848261724818836/
5,0.10514851981943305/
6,0.10215305385264484/
7,0.09376775351437655/
8,0.09401381668719379/
9,0.08992578132586046/
10,0.08411940314553001/
11,0.08130740799687125/
12,0.08237166212363677/
13,0.07937648429112001/
14,0.08210589625618675/
15,0.08084949767047708/
16,0.07867105819962242/
17,0.0764690357988531/
18,0.0789827505566857/
19,0.07939929823983799/
20,0.07830081170255487/
21,0.07640552835030989/
22,0.07605498465624723/
23,0.07739416794343427/
24,0.07634751466187564/
25,0.07706348603421992/
26,0.07682044852863659/
27,0.07686832823536613/
28,0.07672074832699516/
29,0.07685792102055117/
30,0.07683564559979872/
31,0.07664873115041039/
32,0.08083494340831583/
33,0.07606937248598446/
34,0.07575836390256882/
35,0.07565235129811547/
36,0.07553126253864982/
37,0.07532126106999137/
38,0.07561362876133486/
39,0.07595560897480358/
40,0.07527192359620874/
41,0.07554586564952677/
42,0.07550217227502302/
43,0.07493962333960967/
44,0.0757520737431266/
45,0.07458353091369976/
46,0.07504664748907089/
47,0.07505511543967507/
48,0.07471992335536264/
49,0.0746850423650308/
50,0.07445116826079108/
51,0.07554932973601601/
52,0.07484572486443954/
53,0.07421479691158642/
54,0.07457259508696469/
55,0.07469838253476403/
56,0.07456713928417726/
57,0.07453968454491008/
58,0.07477846454490315/
59,0.0744632773236795/
60,0.07472975627942519/
61,0.07432392448186874/
62,0.07459813770922748/
63,0.07415842828425494/
64,0.07424868090586229/
65,0.0739847931265831/
66,0.07448274271054701/
67,0.07421406946398995/
68,0.07443352693861181/
69,0.0742979788238352/
70,0.07426021386276592/
71,0.07430050494995984/
72,0.07421596334739165/
73,0.07416813920844685/
74,0.07410640567541123/
75,0.07423761199821126/
76,0.07416647542606701/
77,0.07433482237837531/
78,0.07426827560771596/
79,0.07424372315406799/
80,0.07434470821510662/
81,0.07454876991835507/
82,0.07450608237223191/
83,0.07441294139081782/
84,0.07449758719314228/
85,0.07447222660888325/
86,0.07439746187491851/
87,0.07437191464684226/
88,0.07464347917925228/
89,0.07462518518621271/
90,0.07454615606503052/
91,0.07437823111360724/
